AAP,NULL,Alexandra Palace,910GALEXNDP,N90NN
ABW,NULL,Abbey Wood,910GABWD,SE29SW
ABX,NULL,Abbey Wood Crossrail,,SE29SW
ACC,NULL,Acton Central,910GACTNCTL,W36QA
AGR,NULL,Angel Road,910GANGELRD,N182PD
AML,NULL,Acton Main Line,910GACTONML,W30JF
ANZ,NULL,Anerley,910GANERLEY,SE208NF
AYP,NULL,Albany Park,910GALBNYPK,DA53HU
BAD,NULL,Banstead,910GBANSTED,SM71PZ
BAK,NULL,Battersea Park,910GQTRDBAT,SW84NP
BAL,NULL,Balham,910GBALHAM,SW129DH
BBL,NULL,Bat & Ball,910GBATABAL,TN145DQ
BCV,NULL,Bruce Grove,910GBRUCGRV,N176YT
BCY,NULL,Brockley,910GBROCKLY,SE42LX
BEC,NULL,Beckenham Hill,910GBCKNHMH,SE63RN
BET,NULL,Bethnal Green,910GBTHNLGR,E26JJ
BFD,NULL,Brentford,910GBNTFORD,TW80QY
BFR,NULL,Blackfriars,910GBLFR,EC4Y0AA
BGM,NULL,Bellingham,910GBELNGHM,SE63TF
BHK,NULL,Bush Hill Park,910GBHILLPK,EN11BN
BHO,NULL,Blackhorse Road,910GBLCHSRD,E176JT
BIK,NULL,Birkbeck,910GBIRKBCK,SE207XX
BKG,NULL,Barking,910GBARKING,IG118TN
BKH,NULL,Blackheath,910GBLKHTH,SE30TW
BKJ,NULL,Beckenham Junction,910GBCKNHMJ,BR31TL
BKL,NULL,Bickley,910GBICKLEY,BR12WE
BLM,NULL,Belmont,910GBELM,SM26DW
BMD,NULL,Brimsdown,910GBRIMSDN,EN37XW
BMN,NULL,Bromley North,910GBROMLYN,BR13LP
BMS,NULL,Bromley South,910GBROMLYS,BR11LE
BNI,NULL,Barnes Bridge,910GBNSBDGE,SW130NP
BNS,NULL,Barnes,910GBARNES,SW130HT
BOP,NULL,Bowes Park,910GBOWESPK,N112QQ
BRX,NULL,Brixton,910GBRIXTON,SW98QQ
BSP,NULL,Brondesbury Park,910GBRBYPK,NW67YG
BSY,NULL,Brondesbury,910GBRBY,NW62QW
BVD,NULL,Belvedere,910GBELVEDR,DA176JR
BXY,NULL,Bexley,910GBEXLEY,DA51AF
CBH,NULL,Cambridge Heath,910GCAMHTH,E29DX
CBP,NULL,Castle Bar Park,910GCBARPAR,W71QA
CDN,NULL,Coulsdon Town,910GCOLSTWN,CR52JA
CDS,NULL,Coulsdon South,910GCOLSDNS,CR52YD
CFB,NULL,Catford Bridge,910GCATFORD,SE64PZ
CFT,NULL,Crofton Park,910GCFPK,SE42BU
CHE,NULL,Cheam,910GCHEAM,SM38SD
CHI,NULL,Chingford,910GCHINGFD,E47AD
CHK,NULL,Chiswick,910GCHISWCK,W43HR
CHP,NULL,Chipstead,910GCHSD,CR53PJ
CHX,NULL,Charing Cross,910GCHRX,WC2R0QU
CIR,NULL,Caledonian Road & Barnsbury,910GCLDNNRB,N78UJ
CIT,NULL,Chislehurst,910GCHSLHRS,BR75QX
CLD,NULL,Chelsfield,910GCHLSFLD,BR66HA
CLJ,NULL,Clapham Junction,910GCLPHMJC,SW112NS
CLK,NULL,Clock House,910GCLOCKHS,BR34RR
CLP,NULL,Clapham High Street,910GCLPHHS,SW46LY
CMD,NULL,Camden Road,910GCMDNRD,NW19NN
CNN,NULL,Canonbury,910GCNNB,N52NU
CPT,NULL,Clapton,910GCLAPTON,E59JU
CRH,NULL,Crouch Hill,910GCROUCHH,N44BQ
CRI,NULL,Cricklewood,910GCRKLWD,NW21TU
CRY,NULL,Crayford,910GCRFD,DA14HW
CSB,NULL,Carshalton Beeches,910GCRSHLTB,SM53SD
CSH,NULL,Carshalton,910GCRSHLTN,SM52NS
CSN,NULL,Chessington North,910GCHSSN,KT91AX
CSS,NULL,Chessington South,910GCHSSS,KT92HR
CST,NULL,Cannon Street,940GZZLUCST,EC4N6AP
CTF,NULL,Catford,910GCATFBDG,SE64PZ
CTH,NULL,Chadwell Heath,910GCHDWLHT,RM64EE
CTK,NULL,City Thameslink,910GCTMSLNK,EC1A2EE
CTN,NULL,Charlton,910GCRLN,SE77RJ
CUS,,Custom House CROSSRAIL,940GZZDLCUS,E163AT
CWF,CWF,Canary Wharf Crossrail,940GZZLUCYF,E144HJ
CWH,NULL,Crews Hill,910GCRHL,EN28AY
CYP,NULL,Crystal Palace,910GCRYSTLP,SE192BF
DDK,NULL,Dagenham Dock,910GDGNHMDC,RM96SJ
DEP,NULL,Deptford,910GDEPTFD,SE85PZ
DFD,NULL,Dartford,910GDARTFD,DA11BN
DGC,NULL,Denham Golf Club,910GDENHMGC,UB95DW
DLJ,NULL,Dalston Junction,910GDALS,N168HR
DLK,NULL,Dalston Kingsland,910GDALS,N168JZ
DMK,NULL,Denmark Hill,910GDENMRKH,SE58AF
DNM,NULL,Denham,910GDENHAM,UB95ND
DRG,NULL,Drayton Green,910GDRAYGRN,W71QN
DYP,NULL,Drayton Park,910GDRYP,N77AS
EAD,NULL,Earlsfield,910GERLFLD,SW184SN
EAL,NULL,Ealing Broadway,910GEALINGB,W52UX
ECR,NULL,East Croydon,910GECROYDN,CR96LE
EDN,NULL,Eden Park,910GEDPK,BR33LY
EDR,NULL,Edmonton Green,910GEDMNGRN,N99YW
EDW,NULL,East Dulwich,910GEDULWCH,SE228ET
ELE,NULL,Elmers End,910GELMERSE,BR34EJ
ELW,NULL,Eltham,910GELTHAM,SE96SS
ENC,NULL,Enfield Chase,910GENFC,EN28DE
ENF,NULL,Enfield Town,910GENFLDTN,EN13UA
ENL,NULL,Enfield Lock,910GENFLDLK,EN36DA
